::1 - - [18/Feb/2023:17:48:04 +0000] "DELETE /api/promotion/63f10994f7796226d1a42d1a HTTP/1.1" 200 380 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:48:12 +0000] "GET /api/promotion/ HTTP/1.1" 200 26 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:48:20 +0000] "POST /api/promotion/ HTTP/1.1" 200 278 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:48:29 +0000] "POST /api/promotion/ HTTP/1.1" 200 278 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:48:30 +0000] "POST /api/promotion/ HTTP/1.1" 200 278 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:48:35 +0000] "GET /api/promotion/ HTTP/1.1" 200 790 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:48:42 +0000] "GET /api/promotion/63f10f64fd2daa4f7307d43e HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:51:17 +0000] "GET /api/promotion/63f10f64fd2daa4f7307d43e HTTP/1.1" 200 278 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:51:44 +0000] "PUT /api/promotion/63f10f64fd2daa4f7307d43e HTTP/1.1" 200 277 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:51:53 +0000] "GET /api/promotion/63f10f64fd2daa4f7307d43e HTTP/1.1" 200 277 "-" "PostmanRuntime/7.29.2"
::1 - - [18/Feb/2023:17:51:58 +0000] "GET /api/promotion/ HTTP/1.1" 200 789 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:07:18:03 +0000] "GET /api/product/ HTTP/1.1" 200 26 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:07:18:15 +0000] "POST /api/product/ HTTP/1.1" 200 238 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:07:18:17 +0000] "POST /api/product/ HTTP/1.1" 200 238 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:07:18:19 +0000] "POST /api/product/ HTTP/1.1" 200 238 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:07:18:22 +0000] "GET /api/product/ HTTP/1.1" 200 670 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:07:18:30 +0000] "GET /api/product/63f1cd36b94fc415dc963a81 HTTP/1.1" 200 238 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:07:18:41 +0000] "PUT /api/product/63f1cd36b94fc415dc963a81 HTTP/1.1" 400 596 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:07:19:18 +0000] "PUT /api/product/63f1cd36b94fc415dc963a81 HTTP/1.1" 200 231 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:07:19:25 +0000] "DELETE /api/product/63f1cd36b94fc415dc963a81 HTTP/1.1" 200 231 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:07:19:32 +0000] "GET /api/product/63f1cd36b94fc415dc963a81 HTTP/1.1" 400 103 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:07:19:37 +0000] "GET /api/product/ HTTP/1.1" 200 455 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:08:38:20 +0000] "GET /api/product/ HTTP/1.1" 200 455 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:23:29 +0000] "GET /api/productdetail/ HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:26:55 +0000] "GET /api/productdetail/ HTTP/1.1" 400 28 "-" "PostmanRuntime/7.29.2"
::1 - - [19/Feb/2023:10:27:49 +0000] "GET /api/productdetail/ HTTP/1.1" 400 64 "-" "PostmanRuntime/7.29.2"
